ITEM,EMISSIONS_FACTOR
"pork, rind, raw",1.314
"pork, roast, cooked",7.251
"pork, roast, raw",8.581
"pork, round steak, cooked",1.803
"pork, round steak, raw",7.843
"pork, saddle, smoked, boiled",0.808
"pork, sausage, danish, raw",2.080
"pork, shoulder boneless",0.585
"pork, shoulder lower half, without rind, fat and bone, raw",8.039
"pork, shoulder upper half, without rind, fat and bone, raw",10.043
"pork, shoulder, cooked",7.149
"pork, shoulder, raw",5.242
"pork, spare ribs",8.488
"pork, spare-ribs, braised",4.700
"pork, spare-ribs, raw",8.310
"pork, tenderloin whole",7.944
"pork, tenderloin, trimmed, raw",4.388
portobello mushroom,1.134
potatischips grill 275g,1.684
potatischips sourcream & onion 275g,3.059
potato,1.107
potato chips,2.549
potato crisps,3.269
"potato crisps and related, reduced fat",2.518
"potato crisps, ""âˆšâ€ l'ancienne"" (old-fashioned style)",3.331
"potato crisps, coarse",2.047
"potato crisps, potato chips",3.575
"potato flakes, dehydrated, plain",0.399
"potato flakes, dehydrated, with milk or cream",1.085
potato flour,2.686
potato gratin / cream potatoes,0.868
"potato hotchpotch, beef, ready meals",2.385
"potato hotchpotch, mixed meat, ready meals",3.545
potato puree powder,1.051
"potato puree, made from flakes, reconstituted with semi-skimmed milk and water, unsalted",1.920
"potato puree, with milk and butter, unsalted",1.767
potato salad,1.544
"potato salad, piâˆšÂ©montaise-style, prepacked",1.038
"potato, boiled/cooked in water",0.689
"potato, canned",2.215
"potato, peeled, baked",2.939
"potato, peeled, raw",1.620
"potato, pre-fried into cubes, frozen, cooked",1.094
"potato, pre-fried into cubes, frozen, raw",0.984
"potato, raw",0.901
"potato, roasted/baked",0.694
"potato, sautâˆšÂ©ed/pan-fried",0.724
"potato, steamed, vacuum-packed",0.837
potatoes,0.344
potatoes (organic),1.184
"potatoes, fresh",2.151
"potatoes, mashed, instant powder with dry milk",2.484
"pouligny saint-pierre cheese, from goat's milk",5.576
"poultry ham in cube, grated or minced",7.464
poultry liver pâˆšÂ¢tâˆšÂ©,6.142
poultry nuggets,2.752
poultry on skewer,5.306
poultry paupiette,4.068
"poultry quenelle, in sauce",8.346
"poultry quenelle, raw",2.278
poultry sausage,3.916
"poultry sausage, delicatessen style",10.094
"poultry, minced meat",3.225
"pound cake, prepacked",0.454
prawn,5.117
prawn crackers,2.676
"prawn, giant tiger, aquaculture, boiled, frozen",13.018
"prawns, frozen",0.876
"prawns, whole, frozen, packaged",1.802
"pre-fried potatoes, pan-fried, lardoons or chicken, and other, without green vegetables",0.645
"prepared mixed tuna and vegetable salad, canned, drained",3.379
"prepared pasta salad, vegetarian",2.149
"prepared pasta salad, with vegetable, meat or fish",2.523
prepared rice salad,0.980
preserved duck,2.993
preserved pork liver,1.565
preserved poultry liver,2.843
"processed cheese snack w breadsticks, for children",3.577
processed cheese with fresh cream cheese and walnuts,1.726
"processed cheese, around 20% fat, in wedges or cubes",3.161
"processed cheese, double cream, around 31% fat",3.506
"processed cheese, in slices",2.208
"profiteroles (chou pastry), with vanilla ice cream and chocolate sauce",1.510
proper chips uk,2.112
protein bar,3.587
provencal-style tart,2.576
provencal-style tomato (breaded tomatoes stuffed with garlic and parsley),2.488
provencal-type tripe (with tomato),6.121
"provence herbs, dried",0.956
"provolone cheese, from cow's milk",3.628
prune,0.576
"prune, dried plum",2.590
"puff pastry, cooked",2.115
"puff pastry, frozen, raw",4.390
"puff pastry, pure butter, cooked",4.566
"puff pastry, pure butter, frozen, raw",1.731
"puff pastry, pure butter, raw",3.509
"puff pastry, raw",6.767
puffed cereals textured bread,1.653
"puffed rice textured bread, wholemeal",2.753
pulled beef,13.813
pulled pork,2.661
"pummelo, pulp, raw",0.734
pumpkin,0.678
"pumpkin (cucurbita moschata), pulp, raw",0.612
pumpkin seeds,1.954
"pumpkin seeds, dried",4.617
pumpkin soup,1.117
"pumpkin, canned, drained",0.413
"pumpkin, cooked",1.940
"pumpkin, pulp, raw",0.826
"pumpkin, raw",1.024
"pumpkin, roasted",1.360
"pumpkins, squash and gourds",0.927
pure alcohol,2.753
pâˆšÂ¢tâˆšÂ© w green pepper,4.177
"pâˆšÂ©lardon cheese, from goat's milk",1.326
"quail, meat and skin, cooked",2.887
quince,0.199
"quince, raw",2.775
quinoa,0.571
"quinoa, black, raw",2.285
"quinoa, boiled/cooked in water, unsalted",0.226
"quinoa, raw",2.432
rabbit pâˆšÂ¢tâˆšÂ©,1.604
rabbit terrine,3.343
rabbit with mustard sauce,2.788
"rabbit, flesh only, raw",1.657
"rabbit, meat, braised",0.169
"rabbit, meat, cooked",7.180
"rabbit, meat, raw",4.439
"rabbit, wild, meat, cooked",6.656
"rabbit, wild, meat, raw",2.401
"raclette cheese, from cow's milk",5.685
radish,0.194
"radish, black, raw",0.944
"radish, pickled",0.825
"radish, raw",0.218
"rainbow trout, farmed, roasted/baked",6.707
"rainbow trout, farmed, steamed",1.382
"rainbow trout, raw, farmed",6.376
raisin,1.002
raisin puff pastry (viennese pastries),3.046
raisins,1.023
"raisins, seedless",2.319
"raisins, sun-dried raisins",1.161
rape seed,2.524
rapeseed,0.395
rapeseed oil,2.172
"rapeseed oil, bottled 1l",3.104
raspberry,0.766
raspberry (g),3.683
raspberry marmalade,2.090
raspberry multipack,1.556
raspberry puree,0.546
raspberry sorbet,1.586
"raspberry, frozen",0.914
"raspberry, frozen, raw",0.732
"raspberry, raw",0.554
ratatouille cooked,2.114
"ravioli filled with meat, in tomato sauce, canned",9.691
"ravioli filled with vegetables, in tomato sauce, canned",0.517
"ray, raw",9.952
"reblochon cheese, from cow's milk",2.886
"red berries (raspberries, strawberries, red currants, black currants) , raw",1.573
red berries tart,2.665
"red cabbage, boiled/cooked in water",3.545
"red cabbage, fresh",0.969
"red cabbage, in glass jar",0.701
"red cabbage, raw",0.544
"red currant, raw",1.521
"red kidney bean, canned, drained",1.801
"red kidney bean, cooked",0.427
"red kidney bean, dried",0.382
"red kuri squash, pulp, raw",2.020
"red lentils, dried",0.385
red onion,0.652
red wine sauce,1.532
"red wine, 0.75l glass bottle",1.005
"renneted milk, flavoured, refrigerated",3.956
"rhubarb, raw",0.920
"rhubarb, stalk, cooked, with sugar",1.831
"rhubarb, stalk, raw",0.711
rice,1.924
rice bran,0.645
"rice drink, 1l",2.497
rice flour,3.883
"rice groats, raw",1.677
rice milk,1.979
"rice noodle, cooked, unsalted",2.104
"rice noodle, dried",1.154
rice noodles,2.505
rice pancakes,0.726
"rice pudding w caramel sauce, refrigerated",3.613
"rice pudding, canned",0.881
"rice pudding, refrigerated",1.143
"rice, brown, cooked, unsalted",0.242
"rice, brown, raw",2.221
"rice, cooked, unsalted",0.491
"rice, milled (dry)",1.608
"rice, mix of species (white, wholegrain, wild, red,etc.), raw",1.820
"rice, parboiled, cooked, unsalted",1.677
"rice, parboiled, raw",3.404
"rice, raw",2.695
"rice, red, cooked, unsalted",1.377
"rice, red, raw",2.905
"rice-based drink, plain",0.705
"ricemilk, with added calcium",1.523
ricotta,3.150
riesling wine and pork pie,5.889
"rillette, fish",1.278
rillettes from mans,0.659
rillettes from tours,4.642
"rillettes, duck",4.030
"rillettes, goose",3.417
"rillettes, mackerel",5.853
"rillettes, pork",2.216
"rillettes, poultry",4.144
"rillettes, pure goose",3.773
"rillettes, pure pork",1.611
"rillettes, salmon",9.489
"rillettes, tuna",3.283
"risotto, w cheeses",0.269
"risotto, w seafood",1.191
"risotto, w vegetables",1.347
"riste (eggplant, tomatoes, onions)",2.837
"roastbeef, sliced",37.364
"roasted cashew, natural",7.266
roasted coffee beans,7.409
"roasted coffee beans, origin brazil",6.241
"rocamadour cheese, from goat's milk",7.668
rock fish,7.828
rock-shaped coconut cake,1.602
rocket,1.939
rockmelon,0.315
rolled escalope of pork with pistachios,8.261
rolled oats,0.613
rolled oats consumer package,3.168
"rolls for hamburger/hotdog (buns), prepacked",3.235
"rolls for hamburger/hotdog (buns), wholemeal, prepacked",3.119
"roman rocket, raw",1.326
"romanesco cauliflower or romanesco broccoli, raw",1.578
"root, bulb and tuberous vegetables",0.638
"roquefort (blue cheese) sauce, prepacked",5.566
"roquefort cheese, from ewe's milk",1.698
"rose hip, raw",1.527
"rosemary, dried",2.113
"rosemary, fresh",1.330
rosette dry sausage,5.807
rostis or potatoes cake,0.021
"round of ham, cooked",2.802
rubber (hevea),26.425
rubber and tanning crops,2.936
rum,1.619
"rum baba, prepacked",0.662
rum-based cocktail,0.808
rusk,1.289
"rusk , slice, multigrain",0.425
"rusk, multigrain",1.034
"rusk, slice, wheat",0.994
"rusk, unsalted",0.931
"rusk, w eggs",2.658
"rusk, wholemeal or rich in fibre",2.875
rye,3.101
"rye bread crumbs with brown sugar, average values",2.149
"rye bread, and wheat",0.649
"rye bread, dark, whole grains, industrially produced",1.478
"rye flour, consumer package",1.465
"rye flour, dark, whole meal",0.877
"rye flour, type 130",0.793
"rye flour, type 170",2.479
"rye flour, type 85",0.175
"rye kernels, whole/cracked",3.364
"rye, whole, raw",0.513
saccharin sweetener,1.748
safflower seed,1.933
saffron,0.341
"sage, dried",2.008
"sage, fresh",0.319
"saint-felicien cheese, from cow's milk",6.527
"saint-marcellin cheese, from cow's milk",3.216
"saint-paulin cheese, from cow's milk (semi-hard cheese)",5.495
"sainte maure cheese, from goat's milk",6.887
"saithe, frozen, raw",3.814
sake or rice wine,1.355
salad crops,3.243
"salad dressing, (50-75% of oil), prepacked",1.791
"salad dressing, oil and vinegar",1.030
"salad dressing, prepacked",1.351
"salad dressing, reduced fat, prepacked",1.862
"salad dressing, thousand island",1.308
"salad mix, washed",1.225
salami,4.682
"salami, danish-style",7.140
"salami, pork and beef",1.996
"salami, pure pork",5.373
salmon (f),1.569
"salmon carpaccio, w marinade",2.465
salmon oil,1.006
salmon tart,0.974
"salmon trout, raw",3.420
salmon with sorrel,1.017
"salmon, atlantic, aquaculture, cold smoked",14.056
"salmon, atlantic, aquaculture, hot smoked",11.282
"salmon, atlantic, aquaculture, raw",9.249
"salmon, atlantic, wild, raw",10.645
"salmon, baked",3.254
"salmon, canned, drained",0.887
"salmon, farmed, fillets, frozen",1.343
"salmon, farmed, fresh, whole fish",2.290
"salmon, farmed, roasted/baked",5.871
"salmon, grilled/pan-fried",3.462
"salmon, microwaved, farmed",2.953
"salmon, raw, farmed",5.910
"salmon, smoked",3.854
"salmon, steamed",0.716
"salsa, hot",1.101
"salsify, canned, drained",0.990
"salsify, frozen, raw",2.227
"salt curing roast poultry, cooked",2.133
"salt, table",0.268
salt-cured pork belly with lentils,1.037
"salted crispy crepe with cheese, prepacked",1.821
"salty snacks, crackers, garnished or filled with cheese",1.640
"salty snacks, crackers, plain",1.460
"salty snacks, crackers, reduced fat",0.506
"salty snacks, made from potato",2.174
"salty snacks, mini pretzels or sticks",3.753
"salty snacks, puff pastry",1.763
"samosa, vegetarian frost",1.221
samosas or samoosas,24.793
sandwich loaf,1.003
"sandwich loaf, bran grain",1.327
"sandwich loaf, crust less, prepacked",1.189
"sandwich loaf, multigrain",2.690
"sandwich loaf, wholemeal",0.973
"sandwich made with french bread, camembert cheese and butter",2.438
"sandwich made with french bread, chicken, raw vegetables (lettuce & tomato) and mayonnaise",2.493
"sandwich made with french bread, dry sausage and butter",0.973
"sandwich made with french bread, egg, raw vegetables (tomato and lettuce) and mayonnaise",1.036
"sandwich made with french bread, ham and butter",4.101
"sandwich made with french bread, ham and emmental cheese",3.241
"sandwich made with french bread, ham, emmental cheese and butter",3.483
"sandwich made with french bread, kebab and raw vegetables",15.171
"sandwich made with french bread, pork, raw vegetables (lettuce & tomato) and mayonnaise",3.480
"sandwich made with french bread, pâˆšÂ¢tâˆšÂ© and pickles",2.130
"sandwich made with french bread, raw vegetables and mayonnaise",3.318
"sandwich made with french bread, salami and butter",0.947
"sandwich made with french bread, smoked salmon and butter",2.306
"sandwich made with french bread, tuna, raw vegetables (tomato and lettuce) and mayonnaise",2.263
"sandwich made with french bread, tuna, sweet corn and raw vegetables",1.247
"sandwich made with french bread, turkey, raw vegetables (lettuce & tomato) and mayonnaise",1.028
"sandwich made with loaf bread, various filling",1.757
"sandwich made with panini bread, raw cured ham, mozzarella cheese and tomato",5.800
"sandwich made with wholemeal loaf bread, chicken, raw vegetables and mayonnaise",1.745
"sandwich made with wholemeal loaf bread, ham and cheese",5.280
"sandwich made with wholemeal loaf bread, ham, raw vegetables, cheese (optional)",2.483
"sandwich made with wholemeal loaf bread, tuna, raw vegetables and mayonnaise",1.938
sangria,1.085
sardine,0.963
sardine oil,3.610
sauce gravad lax,2.244
"sauce, barbeque",4.131
"sauce, butter, prepacked",5.486
"sauce, pepper, prepacked",2.877
"sauce, pesto rosso, prepacked",2.023
"sauce, pesto, prepacked",3.294
"sauerkraut, with garnish",3.433
"sauerkraut, without garnish, drained",0.935
sausage from paris,1.481
"sausage from paris, smoked",2.951
"sausage in a brioche crust, cooked",4.351
"sausage meat, pork and beef, raw",5.963
"sausage meat, pure pork, raw",7.787
"sausage meat, raw",3.136
"sausage slices, beef, cold cuts",7.177
"sausage substitute, vegan bratwurst",1.507
"sausage, 68% pork",5.350
"sausage, beef salami",28.148
"sausage, dried",3.420
"sausage, salami",6.888
sauvignon bianco 2.25l bib,2.388
"savory, dried",1.014
"savoury cake (with cheese, vegetables, meat, fish, poultry,etc.)",3.057
savoy-style sponge cake,2.165
"scallop, with coral, cooked",1.210
"scallop, with coral, raw",1.411
"scallop, without coral, raw",7.263
scallops tart,1.293
"sea belt (saccharina latissima), dried or dehydrated",4.405
"sea lettuce (ulva sp.), dried or dehydrated)",1.400
"sea salt, grey, no enrichment",0.847
"sea thong (himanthalia elongata), dried or dehydrated",5.269
"sea trout, raw",3.556
"seafood terrine, with or without fish",3.707
"seaweed, agar, raw",1.418
seed cotton,0.895
"seeds, chia, dried",2.342
seitan,0.617
"selles-sur-cher cheese, from goat's milk",2.456
"semolina pudding, canned",0.650
"semolina pudding, refrigerated",0.798
"semolina pudding, with raisins and caramel sauce, refrigerated",2.343
serrano dry-cured ham,0.753
served lime hard seltzer,1.649
served raspberry hard seltzer,0.286
sesame,2.758
sesame oil,1.957
sesame seed,0.505
"sesame seed, grilled, husked",5.254
"sesame seed, husked",5.135
"sesame seeds, decorticated",0.283
"shallot, cooked",2.078
"shallot, raw",0.403
shandy (beer + lemonade),1.258
"shandy, prepacked (<1Â¬âˆž alcohol)",0.513
shark,10.544
shea nuts,1.149
"sheep milk, whole",1.327
shepherd's pie or cottage pie with meat,1.379
shepherd's pie with duck,3.331
"shepherd's pie with duck, cooked",2.460
"sherry, dry",1.305
"short crust pastry, pure butter, frozen, raw",3.680
"short crust pastry, pure butter, raw",3.220
"short crust pastry, raw",4.417
shortbread cookie w coconut,3.633
"shortbread cookie with fruit (apple, red berries, etc.)",0.560
"shortbread dough, cooked",2.128
"shortbread dough, pure butter, cooked",1.948
"shortbread dough, pure butter, frozen, raw",1.560
"shortbread dough, pure butter, raw",2.358
"shortbread dough, raw",1.821
shortbread pastry biscuit,5.894
shrimp fritters,2.773
"shrimp or prawn, cooked",6.695
"shrimp or prawn, raw",2.507
"shrimp, boiled, in brine",6.414
"shrimp, frozen, raw",5.158
"shrimps, boiled, shell removed",7.179
"shrimps, canned",4.279
simple cookies,1.414
simply chicken burgers,6.345
simply chicken sausages,3.112
"skipjack tuna, raw",1.339
sliced mushrooms,0.835
small cheese chou-pastry puff,3.576
smoked alsatian sausage or landjâˆšÂ§ger,3.212
"smoked lardoons, cooked",5.359
"smoked lardoons, raw",2.349
smoked salmon,1.637
smoothie,0.401
"smoothie, strawberry blueberry",2.449
"snail in parsley butter, cooked",2.256
